komentar;label;clean;;;;;;;
Hebat....!!! Keren sekali...✦𝗠𝗮𝗻𝘂𝘁𝟴𝟴✦...;1;hebat keren sekali manut88;;;;;;;
kalo p͓̽u͓̽l͓̽a͓̽u͓̽w͓̽i͓̽n͓̽ bikin film ; laris sih .;1;kalo pulauwin bikin film laris sih;;;;;;
 @m.rakhapa  hooh harga suara palsunya 60jt;0;m rakhapa hooh harga suara palsu 6 jt;;;;;;;
​ @dimasseto7248  kamu tau ketawa karir?;0;dimasseto7248 kamu tau ketawa karir;;;;;;;
 @falihrahman9340 ngomong apa njg wkwk;0;falihrahman934 ngomong apa njg wkwk;;;;;;;
Muter muter kaga karuaaaan;0;muter muter kaga karuaaaan;;;;;;;
best alexis17 beneran gampang menang sl0t nya;1;best alexis17 beneran gampang menang sl t nya;;;;;;;
auto jepey! 𝐒𝐆𝐈𝟖𝟖;1;auto jepey sgi88;;;;;;;
lancar lancar bang salam jepe λlexis17 ;;1;lancar lancar bang salam jepe llexis17;;;;;;
22:36 sempet2 nya diarahin ke muka dlu kameranya lg rebahan😂;0;sempet2 nya diarahin muka dlu kamera lg rebah joy;;;;;;;
gembira sudah pasti 🅷🅾🅺🅸777 terbaik;1;gembira hoki777 baik;;;;;;;
i phone nangis liat harga huawei;0;i phone nang liat harga huawei;;;;;;;
hasil alexis17 ; bangga ; beralih tukang koran bos warung .;1;hasil alexis17 bangga alih tukang koran bos warung;;;;;
apasih buzzer cumi;0;apasih buzzer cumi;;;;;;;
Ga kebayang gmn ziko kalo ngemodif motor...di tunggu ya;0;ga bayang gmn ziko kalo ngemodif motor tunggu;;;;;;;
situs terbesar saat ini kebanggan gw ; mandalika77;1;situs besar banggan gw mandalika77;;;;;;
Keren pak ahok😂;0;keren pak ahok joy;;;;;;;
bnyk yg puas alexis17 emg bnrn gacor ya slotnya ya;1;bnyk yg puas alexis17 emg bnrn gacor slotnya;;;;;;;
Subaru crostrek dipo crash di formula drift dan dipo kalah;0;subaru crostrek dipo crash formula drift dipo kalah;;;;;;;
ga pasang lampu rgb bang?🤣;0;ga pasang lampu rgb bang rofl;;;;;;;
takut salah lipet sih;0;takut salah lipet sih;;;;;;;
Gila sih; ⚡ALEXIS17⚡ itu andalan gue sekarang!;1;gila sih zap alexis17 zap andal gue sekarang;;;;;;
Sad but trueeee 💯💯💯;0;sad but trueeee;;;;;;;
modal gacur ; lgsng jepe brusan;1;modal gacur lgsng jepe brusan;;;;;;
1 kawan terlalu sedikit; 1000 lawan kebanyakan 😂😂;0;kawan terlalu sedikit lawan banyak joy joy;;;;;;
gue udah ga bayangin hidup alexis 17 sih;1;gue udah ga bayangin hidup alexis sih;;;;;;;
MAU BIKIN MEM;0;mau bikin mem;;;;;;;
berhenti ngehalu;1;henti ngehalu;;;;;;;
 @viewerpositif6850  semoga jelas ya biar gk salah pikir;0;viewerpositif685 moga jelas biar gk salah pikir;;;;;;;
Semoga rezeki dari 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 membawa keberuntungan!;1;moga rezeki berkah99 bawa untung;;;;;;;
Langsung gak bisa beli cuma bisa nonton;0;langsung gak beli cuma nonton;;;;;;;
Likenya kok langsung mencuat tinggi gitu mas? 🤔;0;likenya kok langsung cuat tinggi gitu mas thinking;;;;;;;
Trendingkan 🔥🔥🔥🔥🔥;0;trendingkan fire fire fire fire fire;;;;;;;
Bagusan komentarnya ya kak. Videonya di stop aja;0;bagus komentar kak video stop aja;;;;;;;
apa akan ada upgrade untuk brziko ?;0;apa upgrade brziko;;;;;;;
aku malam ini klaim 𝐁𝕆𝕎Ø７𝟳 master rezeki;1;aku malam klaim bowo77 master rezeki;;;;;;;
the best skakmat!:_Sip:;0;the best skakmat sip;;;;;;;
9:30 di tunggu konten modif motornya;0;tunggu konten modif motor;;;;;;;
mobil kayak gini dipake buat Pro 2? Atau obel langsung masuk pro 1?;0;mobil kayak gin dipake buat pro obel langsung masuk pro;;;;;;;
Semua temen gue pada bilang ALEXIS⭐17⭐ tuh bikin kecanduan!;1;semua temen gue bilang alexis star star tuh bikin candu;;;;;;;
Untung aku golput main Aman;0;untung aku golput main aman;;;;;;;
Ngecasnya 1 minggu penuh 😅;0;ngecasnya minggu penuh sweat smile;;;;;;;
Jatoh nya gak ngerti konteks gak sih kalo begini mah.;0;jatoh nya gak ngerti konteks gak sih kalo begini mah;;;;;;;
28:21 saya benar benar kaget;0;benar benar kaget;;;;;;;
Kemaren baru beli mantap banget sih;0;kemaren baru beli mantap banget sih;;;;;;;
Gak usah ...;0;gak usah;;;;;;;
gak ribet semenjak 𝘼𝙇𝙀𝙓𝙄𝙎17 .;1;gak ribet semenjak alexis17;;;;;;;
Omon² ngalor ngidul untuk nglindur;0;omon2 ngalor ngidul nglindur;;;;;;;
banget dapet sketer;1;banget dapet sketer;;;;;;;
Kalau ini sama zenix Hybrid mending mana bang?;0;kalau sama zenix hybrid mending mana bang;;;;;;;
ku coba 𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 langsung senyum hahahah;1;ku coba pluto88 langsung senyum hahahah;;;;;;;
​ @Wereng-coklat betul kok jawabannya kurang memuaskan ya;0;wereng coklat betul kok jawab kurang muas;;;;;;;
sipaling proses;0;sipaling proses;;;;;;;
kerennn contentnya bang ; cari situs 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;kerennn contentnya bang cari situs weton88;;;;;;
Gokilllllll 32:25;0;gokilllllll;;;;;;;
saya langsung beli REDMI 4A;0;langsung beli redmi 4a;;;;;;;
Saya beli iphone atau samsung lah;0;beli iphone samsung lah;;;;;;;
Kasihan wapres ini;… ngga malu jg;0;kasihan wapres ngga malu jg;;;;;;
Gokill rata kanan;0;gokill rata kanan;;;;;;;
bro alexis17 ; turnamen gede nih ; hadiahnya apartemen mewah;1;bro alexis17 turnamen gede nih hadiah apartemen mewah;;;;;
cakep kali 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ; bravo ..;1;cakep kali weton88 bravo;;;;;;
D 𝘖 Я 𝘼 𝟳 𝟳bikin ketagihan; pengen main terus dan terus! 😭;1;do a7 7bikin tagih ken main terus terus sob;;;;;;
enk bgt omongan orng berduit😢;0;enk bgt omong orng duit cry;;;;;;;
𝙹𝚎𝚋𝚎 5 𝚝𝚊𝚔 𝚊𝚖𝚋𝚒𝚕 𝚖𝚊𝚜 😂😂😂;0;jebe tak ambil mas joy joy joy;;;;;;;
orang bilang alexis17 tuh miracle banget !;1;orang bilang alexis17 tuh miracle banget;;;;;;;
wkwkwkwkwkwkw;0;wkwkwkwkwkwkw;;;;;;;
keren . gas mari kak 𝐒𝐆𝐈𝟖𝟖;1;keren gas kak sgi88;;;;;;;
Yok d  dis like;0;yok d dis like;;;;;;;
Gak perlu khawatir soal duit kalo udah gabung ALEXIS⭐17⭐.;1;gak perlu khawatir soal duit kalo udah gabung alexis star star;;;;;;;
mantap ! bermain weton88 ; rezeki mengalir deras !;1;mantap main weton88 rezeki alir deras;;;;;;
70 juta di MP;0;juta mp;;;;;;;
Iphone ketar ketir liat ini😅;0;iphone ketar tir liat sweat smile;;;;;;;
Mending diem bisa kali;0;mending diem kali;;;;;;;
semangat bosqu ; terbaik λ l e x i s 1 7 ;;1;semangat bosqu baik llexis17;;;;;
Thanks alot 👍;0;thanks alot thumbsup;;;;;;;
Kalo besok2 sulittt;0;kalo besok2 sulittt;;;;;;;
Jangan ngehate mas gibran;0;jangan ngehate mas gibran;;;;;;;
Kesini cuma buat mau bacain komentar nya 😅 maaf ya;0;kesini cuma buat mau bacain komentar nya sweat smile maaf;;;;;;;
we love you btp;0;we love you btp;;;;;;;
cakep kali 𝗦𝗚𝗜𝟴𝟴 ; bravo ..;1;cakep kali sgi88 bravo;;;;;;
Inilah PRESIDEN yg kalian pilih gess.....;0;ini presiden yg kalian pilih gess;;;;;;;
Gua kira cuman pertama kali main doang yang di kasih bagus; eh ternyata mau main tiap hari juga di kasih bagus sama mandalika77 . Baru kali ini gua nemu s1tus yang bagus kek begini; langka bener jumpa s1tus yang bisa kasih wd terus;1;gua kira cuman pertama kali main doang kasih bagus eh nyata mau main tiap hari kasih bagus sama mandalika77 baru kali gua nemu s1tus bagus kek begini langka bener jumpa s1tus kasih wd terus;;;;;
Mantap pol main di 𝘈𝘎𝑈𝙎𝘛𝙊𝐓O;cuan terus setiap hari!;1;mantap pol main agustoto cuan terus hari;;;;;;
tim esia hidayah;0;tim esia hidayah;;;;;;;
Ternyata main di 𝘈X𝐿𝟩𝟩𝟽itu gacir beneran; hasilnya langsung terlihat!;1;nyata main axl777itu gacir beneran hasil langsung lihat;;;;;;
Gokil! Bangga banget jadi bagian dari 🔥⚡ALEXIS17⚡?🔥;1;gokil bangga banget jadi bagi fire zap alexis17 zap fire;;;;;;;
Anies? Gak usah ngelawak;0;anies gak usah ngelawak;;;;;;;
dibayar berapa?;0;bayar berapa;;;;;;;
Wow! ❤A L E X I S 1 7❤ emang paling top!;1;wow heart a lexis1 heart emang paling top;;;;;;;
FFFFAAAAAKKKKK IYAAA LAGI PLEASE;0;ffffaaaaakkkkk iyaaa please;;;;;;;
menit berapa?;0;menit berapa;;;;;;;
sumpah ; serius nanya ; 𝘼𝙇𝙀𝙓𝙄𝙎17 beneran sebagus ? serius !;1;sumpah serius nanya alexis17 beneran bagus serius;;;;;
Class bos🚩 𝐒𝐆𝐈𝟖𝟖🚩 gak ribet depo cepat dan wd lancar;1;class bos triangular flag on post sgi88 triangular flag on post gak ribet depo cepat wd lancar;;;;;;;
MALU2IN JADI PRESIDEN 😂;;;;;;;;;
16:53 arief Muhammad;0;arief muhammad;;;;;;;
wede malam ; makswin starlight;1;wede malam makswin starlight;;;;;;
Selamat semoga bisa menyajikan entertain yang epik;0;selamat moga saji entertain epik;;;;;;;
Gokil! Main ⚡ALEXIS17⚡ bikin nagih banget!;1;gokil main zap alexis17 zap bikin nagih banget;;;;;;;
Wah bakalan ada dijalan dengan strobo nih wkwkkw;0;wah bakal jalan strobo nih wkwkkw;;;;;;;
Waw. Thank you Ko Ruby;0;waw thank you ko ruby;;;;;;;
ga kebayang bakal sekerenapa  kalau BRZ V8 nya obel tandem sama BR Ziko;0;ga bayang bakal sekerenapa kalau brz v8 nya obel tandem sama br ziko;;;;;;;
bawangg bawangg .....🥹🥹🤧🤧🤣🤣🤣🤣;0;bawangg bawangg face holding back tears face holding back tears sneezing face sneezing face rofl rofl rofl rofl;;;;;;;
09:00 epic moment sih gokliisss;0;epic moment sih gokliisss;;;;;;;
X-Max nya gila gilaan itu om;motor impian sejak lama;0;x max nya gila gila om motor impi sejak lama;;;;;;
ternak mulyono digaji pake uang pajak cuman buat video tipu tipu;0;ternak mulyono gaji pake uang pajak cuman buat video tipu tipu;;;;;;;
kebanyakan slot mati lu kegantung;0;banyak slot mati lu gantung;;;;;;;
semangat bang konten nya salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ! gampang jepe;1;semangat bang konten nya salam weton88 gampang jepe;;;;;;;
Disuruh bapaknya ini mah;0;suruh bapak mah;;;;;;;
Wkwkw kosong semua jawabannya;0;wkwkw kosong semua jawab;;;;;;;
rezeki weton88-bikin hariku bermakna ; terima kasih !;1;rezeki weton88 bikin hari makna terima kasih;;;;;;
ngomong kayak kumur kumur gk ada manfaatnya;0;ngomong kayak kumur kumur gk manfaat;;;;;;;
​ @pinkgangsta6157  sumpah bagian ini kyk ga masuk ke otak aku dlu;0;pinkgangsta6157 sumpah bagi kyk ga masuk otak aku dlu;;;;;;;
 @broom_404  yaah...generasi gk berguna. Move on doong🤣;0;broom 4 4 yaah generasi gk guna move on doong rofl;;;;;;;
Nyari krja susah smpe orang tua bantu nyariin kerja 😂😂;0;nyari krja susah smpe orang tua bantu nyariin kerja joy joy;;;;;;;
gue sih percaya aja alexis17 ; gak ngecewain .;1;gue sih percaya aja alexis17 gak ngecewain;;;;;;
Jadilah 1:16 bagian dari keceriaan ＭΛＮDALIKΛ𝟟𝟟;1;jadi bagi ceria mlndalikl77;;;;;;;
Kalimatnya kayak pkia AI; sesuai lah seperti yg dia gaungkan;0;kalimat kayak pkia ai sesuai lah yg gaung;;;;;;
gak pusing mikirin biaya nikah kalo udah join alexis17 .;1;gak pusing mikirin biaya nikah kalo udah join alexis17;;;;;;;
buzzer ya pak? dibayar berapa?;0;buzzer pak bayar berapa;;;;;;;
alexis 17 tuh emang andalan gue kalo butuh dana cepet;1;alexis tuh emang andal gue kalo butuh dana cepet;;;;;;;
ＭΛＮDALIKΛ𝟟𝟟 gachor bgt; menang terus;1;mlndalikl77 gachor bgt menang terus;;;;;;
sekeluarga menjadi beban negara;0;keluarga jadi beban negara;;;;;;;
sehat salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 gampang jepe;1;sehat salam weton88 gampang jepe;;;;;;;
Abis dari Pandji langsung ke Pachinko?;0;abis pandji langsung pachinko;;;;;;;
Pandji malu😂hahaha catur nya lmgsung kalah dimenit2 awa;0;pandji malu joy hahaha catur nya lmgsung kalah dimenit2 awa;;;;;;;
emang gak se-adil alexis17 deh .;1;emang gak se adil alexis17 deh;;;;;;;
cuan gampang tuh pu lau tujuh tujuh tujuh ; angan-angan !;1;cuan gampang tuh pu lau tujuh tujuh tujuh angan angan;;;;;;
Komennya Langsung diserang buzzer nya 1.1/100;0;komennya langsung serang buzzer nya;;;;;;;
Gibran nya yang gak berani; oom;0;gibran nya gak berani oom;;;;;;
gue udah ga bayangin hidup alexis17 ; ; udah sumber penghasilan;1;gue udah ga bayangin hidup alexis17 udah sumber hasil;;;;;
S15 MESIN R35 ❤; samaa GTR R35 emasss damn;0;s15 mesin r35 heart samaa gtr r35 emasss damn;;;;;;
Cumi2 g ada bang;0;cumi2 g bang;;;;;;;
Gas tu gan mandalika77 zeusnya nya galak tu; lagi mau aja tu ngasi gw baru dikasi maxwin;1;gas tu gan mandalika77 zeusnya nya galak tu mau aja tu ngasi gw baru kasi maxwin;;;;;;
semoga alexis17 sukses amin;1;moga alexis17 sukses amin;;;;;;;
sukaaa bangettt 𝐒𝐆𝐈𝟖𝟖;1;sukaaa bangettt sgi88;;;;;;;
Tim yg udah punya sblm di riview;0;tim yg udah punya sblm riview;;;;;;;
No TEMPO no party;;0;no tempo no party;;;;;;
pemain 𝘼𝐄𝘙𝙊𝟪𝟪-memberikan pengalaman menyenangkan .;1;main aero88 beri alam senang;;;;;;;
nyimak abang ; 𝗦𝗚𝗜𝟴𝟴 cair mulu;1;nyimak abang sgi88 cair mulu;;;;;;
Cuan ngucur deras; cuma di ρ𝓊𝓵άü777 bro!;1;cuan ngucur deras cuma rulau777 bro;;;;;;
Akhirnya Jagoan masuk indo. ;;;;;;;;;
Kocak banget main caturnya 😂;0;kocak banget main catur joy;;;;;;;
 @ilhamsaputra6599  saya tau dia memilih anis;0;ilhamsaputra6599 tau pilih anis;;;;;;;
Mercedes tetap konsisten ga ikut IIMS 😅;0;mercedes tetap konsisten ga ikut iims sweat smile;;;;;;;
pajak tahunanny brp? trims;0;pajak tahunanny brp trims;;;;;;;
λ l e x i s 1 7 ; bikin maxwin gampang;1;llexis17 bikin maxwin gampang;;;;;;
𝘋𝑂𝑅𝐴𝟽𝟩menawarkan pengalaman visual menarik .;1;dora77menawarkan alam visual tarik;;;;;;;
𝗪𝗘𝗧𝗢𝗡𝟴𝟴 uhuy !;1;weton88 uhuy;;;;;;;
18:55 18:59 Suaranya Gokil Dah 💨💨💨💨💨;0;suara gokil dah dash dash dash dash dash;;;;;;;
Yang kesini cuma mau tekan tombol dislike --->>>;0;kesini cuma mau tekan tombol dislike;;;;;;;
gak gagal ; 𝐒𝐆𝐈𝟖𝟖;1;gak gagal sgi88;;;;;;
gak takut penipuan kalo main alexis17 .;1;gak takut tipu kalo main alexis17;;;;;;;
geloo 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 cair x100;1;geloo weton88 cair x1;;;;;;;
kata kata andalan ziko;" "" yg menurut guaa lumayan kerenn"" 🗿";0;kata kata andal ziko yg guaa lumayan kerenn moyai;;;;;;
 @robbyzulhaq_rz6725  postingnya di channel pribadi ziko bukan di chanel garasi drift;0;robbyzulhaq rz6725 postingnya channel pribadi ziko bukan chanel garasi drift;;;;;;;
MANAAA CROSSTREK NYAAAA;0;manaaa crosstrek nyaaaa;;;;;;;
Tugas kelompok😅;0;tugas kelompok sweat smile;;;;;;;
@ minimal nyimak; kalo mau buat bakalan up di chanel pribadinya;0;minimal nyimak kalo mau buat bakal up chanel pribadi;;;;;;
fix ! coba bentar ; langsung menang 𝐌𝐢𝐘𝐚𝟖𝟖 !;1;fix coba bentar langsung menang miya88;;;;;;
kita ga siap gan..;0;ga siap gan;;;;;;;
Lo aja kerja hasil titipan bapak lo.. HHAHAHAHAA;0;lo aja kerja hasil titip bapak lo hhahahahaa;;;;;;;
@ jadilah top mantap is the best :face-blue-smiling:;0;jadi top mantap is the best face blue smiling;;;;;;;
Real ahahahhaah;0;real ahahahhaah;;;;;;;
kritik boleh tapi realistis juga dong om;0;kritik realistis dong om;;;;;;;
semoga akan semakin banyak orang yg turut membantu; seperti𝙈𝘼𝙉𝙐𝙏88;1;moga makin banyak orang yg turut bantu sepertimanut88;;;;;;
Hidup jgn pesimis bro;harus semangat tetap optimis;0;hidup jgn pesimis bro semangat tetap optimis;;;;;;
@ChudoriAgung65  anis pdip kah? lu nglantur ngab;0;chudoriagung65 anis pdip lu nglantur ngab;;;;;;;
Accord rasa Audi😅;0;accord rasa audi sweat smile;;;;;;;
Jaka sembung bawa golok;0;jaka sembung bawa golok;;;;;;;
nambah 1 lagi juga;0;nambah;;;;;;;
Gak akan beli walaupun ada dananya;0;gak beli walaupun dana;;;;;;;
gak pusing mikirin biaya sekolah anak kalo udah join alexis17 .;1;gak pusing mikirin biaya sekolah anak kalo udah join alexis17;;;;;;;
Aku ketimur dia kebarat;0;aku timur barat;;;;;;;
Semoga rezeki dari MANDALIKA-77- ini berkah dan bermanfaat! 🤣 😅;1;moga rezeki mandalika berkah manfaat rofl sweat smile;;;;;;;
Gak ditest gaming rasanya kaya ada yg ganjel🤷‍♂️;0;gak ditest gaming rasa kaya yg ganjel person shrugging male sign;;;;;;;
alexis17 ! emang top dah ; ga bikin kecewa jaman batu sampe;1;alexis17 emang top dah ga bikin kecewa jaman batu sampe;;;;;;
Cuma bikin risih org;0;cuma bikin risih org;;;;;;;
Saya antusias kalau modifikasi motor mas;;;;;;;;;
mandalika77 real tuh dah gw coba bnrn gacir;1;mandalika77 real tuh dah gw coba bnrn gacir;;;;;;;
Lucu lawaknya.;0;lucu lawak;;;;;;;
Pulang tinggal nama mereka;0;pulang tinggal nama;;;;;;;
𝐒𝐆𝐈𝟖𝟖 uhuy !;1;sgi88 uhuy;;;;;;;
Kenapa harus ada warna pink;0;warna pink;;;;;;;
Main di ＭΛＮDALIKΛ𝟟𝟟 bikin happy banget; hasilnya gacir abis!;1;main mlndalikl77 bikin happy banget hasil gacir abis;;;;;;
udah yaa main ksatria ksatriaannya 😸😸;0;udah yaa main ksatria ksatria smile cat smile cat;;;;;;;
We are so fcked up fr 😂;0;we are so fcked up fr joy;;;;;;;
0:58 jasa skip;0;jasa skip;;;;;;;
Semua orang bilang ALEXIS⭐17⭐ tuh bener-bener ngubah nasib.;1;semua orang bilang alexis star star tuh bener bener ngubah nasib;;;;;;;
Power trainnya sama memang;0;power trainnya sama memang;;;;;;;
wede cepat proses gampang ; recommended;1;wede cepat proses gampang recommended;;;;;;
Menit 18:31 ahok udah bisa skakmat kan ya? Terus udahan aja acaranya😅;0;menit ahok udah skakmat kan terus udahan aja acara sweat smile;;;;;;;
hoki berlipat ganda ikutan pawpaw4d ; rekomendasi banget !;1;hoki lipat ganda ikut pawpaw4d rekomendasi banget;;;;;;
18:26 ohhh jadi jersey kipernya warna ijoo wkwk; oke siip;0;ohhh jadi jersey kiper warna ijoo wkwk oke siip;;;;;;
Salfook sama AE86 😂;0;salfook sama ae86 joy;;;;;;;
gak nyangka 𝘼𝙇𝙀𝙓𝙄𝙎17 se-booming ; keren abis ! beneran ?;1;gak nyangka alexis17 se booming keren abis beneran;;;;;;
serius deh ; dapet cuan gampang tuh ya pu lau tujuh tujuh tujuh .;1;serius deh dapet cuan gampang tuh pu lau tujuh tujuh tujuh;;;;;;
ini lagi cek saldo;0;cek saldo;;;;;;;
"Ridwan ngmg ke Om Mobi "" Lu Lu"" Woi Tuaan Om Mobi lho";0;ridwan ngmg om mob lu lu woi tua om mob lho;;;;;;;
cakep kali 𝐒𝐆𝐈𝟖𝟖 ; bravo ..;1;cakep kali sgi88 bravo;;;;;;
tetangga gue kepo penghasilan alexis17 .;1;tetangga gue kepo hasil alexis17;;;;;;;
Budayakan nonton sampai habis dan memahami;0;budaya nonton habis paham;;;;;;;
Gak perlu pusing mikirin biaya nikah kalo udah join ALEXIS⭐17⭐.;1;gak perlu pusing mikirin biaya nikah kalo udah join alexis star star;;;;;;;
Hahaha gak punya chrome 😂;0;hahaha gak punya chrome joy;;;;;;;
Swert Bonanja makswin; puas banget;1;swert bonanja makswin puas banget;;;;;;
Sejak awal bro sudah ngelantur...;0;sejak awal bro ngelantur;;;;;;;
Sejauh ini; ini yang lebih banyak di dislikenya;0;jauh lebih banyak dislikenya;;;;;;
bro tau ga 𝘼𝙇𝙀𝙓𝙄𝙎17 udah support e-wallet potongan;1;bro tau ga alexis17 udah support e wallet potong;;;;;;;
Selain jarak dari rumah jauh ya mungkin ada alasan lagi;0;jarak rumah jauh mungkin alas;;;;;;;
auto lancar langsung;1;auto lancar langsung;;;;;;;
LOL;;;;;;;;;
31:30 Hape terooss !;0;hape terooss;;;;;;;
terbaik kak ; salam weton88;1;baik kak salam weton88;;;;;;
𝐌𝐴𝙓 𝟥𝟹ทุกคนเคยล้มเหลวมาก่อน;1;max 33thukkhnekhylmehlwmakon;;;;;;;
Yang di tunggu2;0;tunggu2;;;;;;;
Kosong adalah kosong 😢;0;kosong kosong cry;;;;;;;
seminggu main alexis17 ; gue udah ganti drone !;1;minggu main alexis17 gue udah ganti drone;;;;;;
kapan lagi wehde 2 juta modal 50k? ⭐ A L E X I S 1 7 ⭐ doang kayak nya wkwkwk;1;kapan wehde juta modal 5 k star alexis17 star doang kayak nya wkwkwk;;;;;;;
42:51 jawaban ttg bab1 masak;0;jawab ttg bab1 masak;;;;;;;
sore sore gini lagi nyantai sambil main di mandalika77; tambah lagi dikasih maxwin hahaa Mudah Maxwin;1;sore sore gin nyantai main mandalika77 tambah kasih maxwin hahaa mudah maxwin;;;;;;
konten ! keren banget menjelaskannya ! main bagus bang 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;konten keren banget jelas main bagus bang weton88;;;;;;;
Simpen guys video nya guys jangan sampe ilang guys;0;simpen guys video nya guys jangan sampe ilang guys;;;;;;;
alexis'17 gua bru maen bentar ; lngsg jepe;1;alexis gua bru maen bentar lngsg jepe;;;;;;
Ls 3 for dipo 🎉;0;ls for dipo tada;;;;;;;
gue udah ga tidur nyenyak kalo main alexis17 sehari ; kaya hilang;1;gue udah ga tidur nyenyak kalo main alexis17 hari kaya hilang;;;;;;
yapping terusss;0;yapping terusss;;;;;;;
absen dan like-nya yang udah beli ini hape. 👍;0;absen like nya udah beli hape thumbsup;;;;;;;
Anak muda yang di bekingi ayah tidak takut tantangan 😊;0;anak muda beking ayah takut tantang blush;;;;;;;
18:28 KAKK IRENEEEE LIAT LANGKAH BRILIAN DARI BRO PANDJIIIIIII;0;kakk ireneeee liat langkah brilian bro pandjiiiiiii;;;;;;;
19:45 😂 kayaknya arahnya sama deh mas ziko😆 kurang briping nih😅;0;joy kayak arah sama deh mas ziko laughing kurang briping nih sweat smile;;;;;;;
Seingetku ada hp 3lipat kagi tapi gk masuk indo; dari tecno lah;0;seingetku hp 3lipat kagi gk masuk indo tecno lah;;;;;;
Gokilll sii;0;gokilll sii;;;;;;;
jepey gmpng bgt ; maen alexis17;1;jepey gmpng bgt maen alexis17;;;;;;
Coba deh ＰＵＬＡＵＷＩＮ 😍;1;coba deh pulauwin heart eyes;;;;;;;
Alamak huwawei 50 jt lipat 3;0;alamak huwawei jt lipat;;;;;;;
Di Endorse bapaknya 😅😅;0;endorse bapak sweat smile sweat smile;;;;;;;
orang bilang alexis17 tuh bener-bener ngubah financial .;1;orang bilang alexis17 tuh bener bener ngubah financial;;;;;;;
Wohhhh yg ditunggu2 selama berbulan bulan akhirnya;0;wohhhh yg ditunggu2 lama bulan bulan akhir;;;;;;;
Incess skketernya keluar mulu say di ⭐𝘼𝙇𝙀𝙓𝙄𝙎17.;1;incess skketernya keluar mulu say star alexis17;;;;;;;
marahin editornya bang; openingnya jd kocak wkwkw;0;marahin editor bang openingnya jd kocak wkwkw;;;;;;
yng ditunggu..;0;yng tunggu;;;;;;;
